timestamp,topic,payload
2025-10-04 21:43:44,sensors/temperature,25.5
2025-10-04 21:43:44,sensors/humidity,61.7
2025-10-04 21:43:49,sensors/temperature,25.8
2025-10-04 21:43:49,sensors/humidity,66.8
2025-10-04 21:43:54,sensors/temperature,27.9
2025-10-04 21:43:54,sensors/humidity,63.0
2025-10-04 21:43:59,sensors/temperature,23.4
2025-10-04 21:43:59,sensors/humidity,58.5
2025-10-04 21:44:04,sensors/temperature,23.4
2025-10-04 21:44:04,sensors/humidity,68.8
2025-10-04 21:44:09,sensors/temperature,22.2
2025-10-04 21:44:09,sensors/humidity,56.1
2025-10-04 21:44:14,sensors/temperature,22.6
2025-10-04 21:44:14,sensors/humidity,50.4
2025-10-04 21:44:19,sensors/temperature,23.5
2025-10-04 21:44:19,sensors/humidity,50.1
2025-10-04 21:44:24,sensors/temperature,24.5
2025-10-04 21:44:24,sensors/humidity,30.9
2025-10-04 21:44:29,sensors/temperature,21.3
2025-10-04 21:44:29,sensors/humidity,45.2
2025-10-04 21:44:34,sensors/temperature,21.7
2025-10-04 21:44:34,sensors/humidity,42.4
2025-10-04 21:44:39,sensors/temperature,27.6
2025-10-04 21:44:39,sensors/humidity,62.6
2025-10-04 21:44:44,sensors/temperature,28.8
2025-10-04 21:44:44,sensors/humidity,41.8
2025-10-04 21:44:49,sensors/temperature,23.6
2025-10-04 21:44:49,sensors/humidity,58.9
2025-10-04 21:44:54,sensors/temperature,28.8
2025-10-04 21:44:54,sensors/humidity,34.8
2025-10-04 21:44:59,sensors/temperature,26.5
2025-10-04 21:44:59,sensors/humidity,48.9
2025-10-04 21:45:04,sensors/temperature,20.1
2025-10-04 21:45:04,sensors/humidity,65.9
2025-10-04 21:45:09,sensors/temperature,26.8
2025-10-04 21:45:09,sensors/humidity,58.2
2025-10-04 21:45:14,sensors/temperature,27.7
2025-10-04 21:45:14,sensors/humidity,66.3
2025-10-04 21:45:19,sensors/temperature,23.0
2025-10-04 21:45:19,sensors/humidity,65.8
2025-10-04 21:45:24,sensors/temperature,21.6
2025-10-04 21:45:24,sensors/humidity,69.8
2025-10-04 21:45:29,sensors/temperature,29.8
2025-10-04 21:45:29,sensors/humidity,67.8
2025-10-04 21:45:34,sensors/temperature,28.5
2025-10-04 21:45:34,sensors/humidity,69.9
2025-10-04 21:45:39,sensors/temperature,26.2
2025-10-04 21:45:39,sensors/humidity,61.8
2025-10-04 21:45:44,sensors/temperature,20.5
2025-10-04 21:45:44,sensors/humidity,57.7
2025-10-04 21:45:49,sensors/temperature,24.4
2025-10-04 21:45:49,sensors/humidity,34.8
2025-10-04 21:45:54,sensors/temperature,21.3
2025-10-04 21:45:54,sensors/humidity,49.2
2025-10-04 21:45:59,sensors/temperature,20.6
2025-10-04 21:45:59,sensors/humidity,55.1
2025-10-04 21:46:04,sensors/temperature,23.4
2025-10-04 21:46:04,sensors/humidity,35.3
2025-10-04 21:46:09,sensors/temperature,28.2
2025-10-04 21:46:09,sensors/humidity,53.1
2025-10-04 21:46:14,sensors/temperature,21.3
2025-10-04 21:46:14,sensors/humidity,46.7
2025-10-04 21:46:19,sensors/temperature,27.3
2025-10-04 21:46:19,sensors/humidity,62.6
2025-10-04 21:46:24,sensors/temperature,29.4
2025-10-04 21:46:24,sensors/humidity,49.8
2025-10-04 21:46:29,sensors/temperature,25.5
2025-10-04 21:46:29,sensors/humidity,65.3
2025-10-04 21:46:34,sensors/temperature,23.9
2025-10-04 21:46:34,sensors/humidity,35.9
2025-10-04 21:46:39,sensors/temperature,20.7
2025-10-04 21:46:39,sensors/humidity,30.7
2025-10-04 21:46:44,sensors/temperature,28.4
2025-10-04 21:46:44,sensors/humidity,60.7
2025-10-04 21:46:49,sensors/temperature,26.8
2025-10-04 21:46:49,sensors/humidity,69.2
2025-10-04 21:46:54,sensors/temperature,20.5
2025-10-04 21:46:54,sensors/humidity,58.2
2025-10-04 21:46:59,sensors/temperature,27.6
2025-10-04 21:46:59,sensors/humidity,38.6
2025-10-04 21:47:04,sensors/temperature,23.2
2025-10-04 21:47:04,sensors/humidity,35.3
2025-10-04 21:47:09,sensors/temperature,27.4
2025-10-04 21:47:09,sensors/humidity,62.0
2025-10-04 21:47:14,sensors/temperature,20.2
2025-10-04 21:47:14,sensors/humidity,51.8
2025-10-04 21:47:19,sensors/temperature,25.8
2025-10-04 21:47:19,sensors/humidity,56.8
2025-10-04 21:47:24,sensors/temperature,22.4
2025-10-04 21:47:24,sensors/humidity,38.2
2025-10-04 21:47:29,sensors/temperature,28.8
2025-10-04 21:47:29,sensors/humidity,69.9
2025-10-04 21:47:34,sensors/temperature,23.7
2025-10-04 21:47:34,sensors/humidity,36.7
2025-10-04 21:47:39,sensors/temperature,24.1
2025-10-04 21:47:39,sensors/humidity,50.8
2025-10-04 21:47:44,sensors/temperature,21.6
2025-10-04 21:47:44,sensors/humidity,42.7
2025-10-04 21:47:49,sensors/temperature,28.6
2025-10-04 21:47:49,sensors/humidity,60.9
2025-10-04 21:47:54,sensors/temperature,21.2
2025-10-04 21:47:54,sensors/humidity,55.9
2025-10-04 21:47:59,sensors/temperature,20.0
2025-10-04 21:47:59,sensors/humidity,61.4
2025-10-04 21:48:04,sensors/temperature,20.8
2025-10-04 21:48:04,sensors/humidity,54.2
2025-10-04 21:48:09,sensors/temperature,22.9
2025-10-04 21:48:09,sensors/humidity,68.2
2025-10-04 21:48:14,sensors/temperature,20.8
2025-10-04 21:48:14,sensors/humidity,50.3
2025-10-04 21:48:19,sensors/temperature,25.0
2025-10-04 21:48:19,sensors/humidity,50.4
2025-10-04 21:48:24,sensors/temperature,28.3
2025-10-04 21:48:24,sensors/humidity,38.3
2025-10-04 21:48:29,sensors/temperature,22.7
2025-10-04 21:48:29,sensors/humidity,47.8
2025-10-04 21:48:34,sensors/temperature,24.2
2025-10-04 21:48:34,sensors/humidity,69.7
2025-10-04 21:48:39,sensors/temperature,28.6
2025-10-04 21:48:39,sensors/humidity,44.2
2025-10-04 21:48:44,sensors/temperature,25.0
2025-10-04 21:48:44,sensors/humidity,45.4
2025-10-04 21:48:49,sensors/temperature,24.2
2025-10-04 21:48:49,sensors/humidity,40.5
2025-10-04 21:48:54,sensors/temperature,23.5
2025-10-04 21:48:54,sensors/humidity,69.9
2025-10-04 21:48:59,sensors/temperature,25.4
2025-10-04 21:48:59,sensors/humidity,59.3
2025-10-04 21:49:04,sensors/temperature,22.6
2025-10-04 21:49:04,sensors/humidity,51.0
2025-10-04 21:49:09,sensors/temperature,29.9
2025-10-04 21:49:09,sensors/humidity,43.2
2025-10-04 21:49:14,sensors/temperature,23.3
2025-10-04 21:49:14,sensors/humidity,65.0
2025-10-04 21:49:19,sensors/temperature,28.1
2025-10-04 21:49:19,sensors/humidity,42.5
2025-10-04 21:49:24,sensors/temperature,28.4
2025-10-04 21:49:24,sensors/humidity,44.3
2025-10-04 21:49:29,sensors/temperature,20.8
2025-10-04 21:49:29,sensors/humidity,59.8
2025-10-04 21:49:34,sensors/temperature,23.9
2025-10-04 21:49:34,sensors/humidity,37.7
2025-10-04 21:49:39,sensors/temperature,27.5
2025-10-04 21:49:39,sensors/humidity,68.8
2025-10-04 21:49:44,sensors/temperature,28.5
2025-10-04 21:49:44,sensors/humidity,37.5
2025-10-04 21:49:49,sensors/temperature,28.6
2025-10-04 21:49:49,sensors/humidity,52.7
2025-10-04 21:49:54,sensors/temperature,23.5
2025-10-04 21:49:54,sensors/humidity,50.2
2025-10-04 21:49:59,sensors/temperature,25.3
2025-10-04 21:49:59,sensors/humidity,63.5
2025-10-04 21:50:04,sensors/temperature,26.0
2025-10-04 21:50:04,sensors/humidity,58.4
2025-10-04 21:51:09,sensors/temperature,26.5
2025-10-04 21:51:14,sensors/temperature,23.9
2025-10-04 21:51:19,sensors/humidity,72
2025-10-04 21:51:24,sensors/temperature,29.6
2025-10-04 21:54:50,sensors/temperature,23.7
2025-10-04 21:54:59,sensors/temperature,23.7
2025-10-04 21:55:46,sensors/temperature,laba
2025-10-04 21:59:35,sensors/temperature,29.4
2025-10-04 21:59:40,sensors/humidity,62
2025-10-04 21:59:45,sensors/temperature,26.5
2025-10-04 21:59:50,sensors/temperature,23.5
2025-10-04 21:59:55,sensors/humidity,49
2025-10-04 22:00:00,sensors/temperature,24.7
2025-10-04 22:00:05,sensors/humidity,31
2025-10-04 22:00:10,sensors/humidity,46
2025-10-04 22:00:15,sensors/humidity,48
2025-10-04 22:00:20,sensors/temperature,28.1
2025-10-04 22:00:25,sensors/temperature,24.2
2025-10-04 22:00:30,sensors/humidity,41
2025-10-04 22:00:35,sensors/temperature,21.8
2025-10-04 22:00:40,sensors/humidity,77
2025-10-04 22:00:45,sensors/humidity,66
2025-10-04 22:00:50,sensors/humidity,61
2025-10-04 22:00:55,sensors/humidity,35
2025-10-04 22:01:00,sensors/humidity,44
2025-10-04 22:01:05,sensors/temperature,24.9
2025-10-04 22:01:10,sensors/temperature,29.2
2025-10-04 22:01:15,sensors/humidity,42
2025-10-04 22:01:20,sensors/temperature,25.5
